day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1,2018,3,19,19/03/2018,39.4,10.8,1012.9,10,4.3,11.1,15,46.9,28,0,999.9,0,686
3,2018,12,5,05/12/2018,32.5,16.4,1018.2,10,999.9,999.9,999.9,46,28,0,999.9,0,652
1,2021,1,11,11/01/2021,32.4,20.5,1025.4,10,2.7,5.1,999.9,41,28,0,999.9,0,238
1,2021,1,11,11/01/2021,32.4,20.5,1025.4,10,2.7,5.1,999.9,41,28,0,999.9,0,238
4,2018,12,6,06/12/2018,34.5,18.8,1021,10,999.9,999.9,999.9,39.9,28,0,999.9,0,681
2,2021,1,12,12/01/2021,37.3,23,1019.9,9.4,3.4,6,999.9,44.1,28,0,999.9,0,278
2,2021,1,12,12/01/2021,37.3,23,1019.9,9.4,3.4,6,999.9,44.1,28,0,999.9,0,278
1,2018,12,10,10/12/2018,33.4,17.3,1020.2,10,999.9,999.9,999.9,39,28,0,999.9,0,651
6,2021,1,23,23/01/2021,31.6,9.1,1015.3,10,9.2,15,28.9,45,28,0,999.9,0,251
6,2021,1,23,23/01/2021,31.6,9.1,1015.3,10,9.2,15,28.9,45,28,0,999.9,0,251
6,2016,3,5,05/03/2016,33.8,12.4,1020.7,10,5.1,8.9,17.1,41,28,0.04,999.9,0,601
7,2016,3,6,06/03/2016,37.3,14.5,1024.1,10,2.7,7,999.9,44.1,28,0,999.9,0,500
6,2016,12,10,10/12/2016,31.5,15.4,1027.3,10,6.1,9.9,20,43,28,0,999.9,0,555
7,2016,12,11,11/12/2016,30.8,16.9,1032.1,9.2,3.3,6,999.9,35.1,28,0,999.9,0,522
1,2016,12,12,12/12/2016,38.8,34.9,1016.1,6.3,4.6,9.9,15.9,46,28,0.46,999.9,0,665
4,2016,4,7,07/04/2016,52.4,43.2,1006.9,9.3,5.8,11.1,22.9,57.9,30,0,999.9,0,630
3,2016,12,21,21/12/2016,34.3,16.3,1021.5,10,3.2,8.9,17.1,39.9,30,0,999.9,0,676
4,2016,12,22,22/12/2016,41.6,22.7,1017.6,10,4.5,12,21,48.9,30,0,999.9,0,700
3,2021,11,24,24/11/2021,36.2,17.2,1024.7,10,4.2,8.9,18.1,45,30,0,999.9,0,368
3,2021,11,24,24/11/2021,36.2,17.2,1024.7,10,4.2,8.9,18.1,45,30,0,999.9,0,368
4,2021,11,25,25/11/2021,46.2,22.6,1019,10,3,7,999.9,55.9,30,0,999.9,0,217
4,2021,11,25,25/11/2021,46.2,22.6,1019,10,3,7,999.9,55.9,30,0,999.9,0,217
7,2014,3,16,16/03/2014,37,10.4,1019.5,10,7.3,15,24.1,57.9,30,0,999.9,0,412
1,2017,1,16,16/01/2017,35,20,1029.7,10,3.1,7,999.9,43,30,0,1.2,0,477
2,2017,1,17,17/01/2017,40,30.4,1024.1,6.6,3.8,9.9,17.1,43,30,0,999.9,0,657
6,2014,12,20,20/12/2014,31.7,19.1,1023.9,10,4.8,8,15,37.9,30,0,999.9,0,505
7,2014,12,21,21/12/2014,32.4,23.2,1025.7,9.6,3.8,7,999.9,36,30,0,999.9,0,409
7,2019,11,17,17/11/2019,35.8,15.8,1027.7,10,8.3,15.9,22,43,30,0,999.9,0,444
5,2021,12,24,24/12/2021,34.8,25.3,1019.1,8.6,3.4,8,999.9,39.9,30,0.03,999.9,1,281
5,2021,12,24,24/12/2021,34.8,25.3,1019.1,8.6,3.4,8,999.9,39.9,30,0.03,999.9,1,281
